Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Autre
Société des Grands Projets;2,6 GHz TDD;2575;2595;2025-0185;https://www.arcep.fr/uploads/tx_gsavis/25-0185.pdf;48,71769444444445;2,217027777777778;91477;Palaiseau;Essonne;Île-de-France;2025-01-24;2025-11-24;La Société des Grands Projets prévoit de déployer une infrastructure radio LTE privée afin d’assurer les communications en 4G LTE entre les agents de terrain et permettre aux services de secours et de sécurité de communiquer dans les emprises du GPE (dans le cadre du RRF).;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bouygues Telecom;2,6 GHz TDD;2575;2595;2024-2842;https://www.arcep.fr/uploads/tx_gsavis/24-2842.pdf;48,83416666666667;2,258611111111111;92012;Boulogne-Billancourt;Hauts-de-Seine;Île-de-France;2025-01-01;2026-12-31;Devant le risque de saturation sur les zones à forte densité humaine , un renfort local de couverture 4G sera assurée par une Bulle 4G mobile raccordée à un système satellitaire Starlink version mobile;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bouygues Telecom;2,6 GHz TDD;2575;2595;2024-2842;https://www.arcep.fr/uploads/tx_gsavis/24-2842.pdf;48,7875;2,2197222222222224;92048;Meudon;Hauts-de-Seine;Île-de-France;2025-01-01;2026-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TDF;2,6 GHz TDD;2575;2595;2024-2844;https://www.arcep.fr/uploads/tx_gsavis/24-2844.pdf;48,88502777777778;2,4219166666666667;93045;Les Lilas;Seine-Saint-Denis;Île-de-France;2025-01-01;2027-12-31;TDF, intégrateur des réseaux mobiles privés (RMP) 4G et 5G, déploie un réseau d’expérimentation 4G sur une partie de son Campus Technique situé au Fort de Romainville. Ce réseau permettra à TDF de réaliser des démonstrations pour ses différents clients RMP et de poursuivre les études et travaux de développement menés pour le compte de ses clients dans le domaine des réseaux mobiles privés 4G/5G.;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Airnity;2,6 GHz TDD;2575;2595;2025-0696;https://www.arcep.fr/uploads/tx_gsavis/25-0696.pdf;48,7625;2,0825;78297;Guyancourt;Yvelines;Île-de-France;2025-04-04;2026-04-03;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
ALE International;3,8 GHz;3900;4000;2025-0136;https://www.arcep.fr/uploads/tx_gsavis/25-0136.pdf;48,934;2,252638888888889;92025;Colombes;Hauts-de-Seine;Île-de-France;2025-01-27;2028-01-26;Expérimentation menée dans une salle d'exposition pour démontrer aux clients les différents cas d'utilisation tels que l'IoT, la voix et la vidéo,;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Haropa;2,6 GHz TDD;2595;2615;2025-0103;https://www.arcep.fr/uploads/tx_gsavis/25-0103.pdf;49,46336111111111;0,14216666666666666;76351;Le Havre;Seine-Maritime;Normandie;2025-01-16;2025-12-31;Dans le cadre du programme Le Havre Smart Port City, le 5G Lab déploie des stations d’émission radio 5G dans la bande 2,6 GHz TDD pour expérimenter les cas d’usage de communication terre-mer.;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
Renault;3,8 GHz;3900;4000;2025-0220;https://www.arcep.fr/uploads/tx_gsavis/25-0220.pdf;50,361333333333334;3,0289444444444444;78297;Guyancourt;Yvelines;Île-de-France;2025-02-17;2028-02-16;Expérimentation 5G pour l’industrie et le véhicule connectée.;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0
Sysoco/Axians;2,6 GHz TDD;2575;2595;2025-0447;https://www.arcep.fr/uploads/tx_gsavis/25-0447.pdf;45,72694444444445;4,97925;69277;Genas;Rhône;Auvergne-Rhône-Alpes;2025-03-11;2026-03-10;Expérimentation pour tester des cas d'usages;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
Sysoco/Axians;2,6 GHz TDD;2575;2595;2025-0447;https://www.arcep.fr/uploads/tx_gsavis/25-0447.pdf;48,92572222222222;2,3153888888888887;92036;Gennevilliers;Hauts-de-Seine;Île-de-France;2025-03-11;2026-03-10;Expérimentation pour tester des cas d'usages;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
Luceor;3,8 GHz;3900;4000;2025-0448;https://www.arcep.fr/uploads/tx_gsavis/25-0448.pdf;43,64833333333333;6,345;83082;Montferrat;Var;Provence-Alpes-Côte d'Azur;2025-03-10;2027-05-01;LUCEOR couvre le site de Canjuers en réseau cellulaire de type 5G privée. L’enjeu est d’expérimenter le déploiement d’une solution de suivi de la position et de l’état d’entités prenant part à un exercice d’entrainement militaire de type instrumentée.;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CCIN;3,8 GHz;3900;4000;2025-0492;https://www.arcep.fr/uploads/tx_gsavis/25-0492.pdf;48,41797222222222;1,4896666666666667;28110;Le Coudray;Eure-et-Loir;Centre-Val de Loire;2025-03-12;2027-12-31;Expérimentation dans le cadre d’un laboratoire 5G Privée. L’objectif est de tester différents équipements connectés en 5G (Caméras, smartphones, capteurs, etc.).;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Orange Events;3,8 GHz;4000;4100;2025-0839;https://www.arcep.fr/uploads/tx_gsavis/25-0839.pdf;48,84741666666667;2,249277777777778;75056;Paris;Paris;Île-de-France;2025-05-07;2026-05-06;Plateforme d’expérimentation de captation vidéo sur réseau 5G SA en vue de fournir des solutions de connectivité mobile pour les grands évènements.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2025-0660;https://www.arcep.fr/uploads/tx_gsavis/25-0660.pdf;47,75425;-3,3503055555555554;56121;Lorient;Morbihan;Bretagne;2025-04-01;2026-03-15;L’expérimentation a pour but de tester la 5G privée dans différentes étapes de construction d’un navire et de mesurer le niveau de champs rayonné.Des cas d’usages smart industries permettront de démontrer les avantages de l’utilisation d’un réseau privé 5G.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
CCIN;3,8 GHz;3900;4000;2025-0492;https://www.arcep.fr/uploads/tx_gsavis/25-0492.pdf;48,41797222222222;1,4896666666666667;28110;Le Coudray;Eure-et-Loir;Centre-Val de Loire;2025-03-12;2027-12-31;Expérimentation dans le cadre d’un laboratoire 5G Privée. L’objectif est de tester différents équipements connectés en 5G (Caméras, smartphones, capteurs, etc.).;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Dauphin Telecom;2,6 GHz TDD;2575;2615;2025-0771;https://www.arcep.fr/uploads/tx_gsavis/25-0771.pdf;16,220555555555553;-61,5297222222222;97113;Le Gosier;Guadeloupe;Guadeloupe;2025-04-22;2026-04-21;Expérimentation de cas d'usage 4G/5G;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EMG France;3,8 GHz;3900;4000;2025-0823;https://www.arcep.fr/uploads/tx_gsavis/25-0823.pdf;48,84355555555556;2,6654999999999998;77059;Bussy-Saint-Martin;Seine-et-Marne;Île-de-France;2025-05-01;2027-04-30;Expérimentation qui consiste à mener des tests approfondis sur un réseau 5G privé dans le but de réaliser des études de Recherche et Développement (R&D).;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
CEA;3,8 GHz;3800;3900;2025-0821;https://www.arcep.fr/uploads/tx_gsavis/25-0821.pdf;48,712722222222226;2,194472222222222;91477;Palaiseau;Essonne;Île-de-France;2025-04-15;2028-04-14;PRISM est une plateforme de recherche pour la fabrication intelligente et durable qui intègre des capacités clés pour l'industrie du futur. Des solutions robotiques innovantes, basées sur l'IA et le jumeau numérique, assurent une production plus agile, plus performante et plus respectueuse de l'homme.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Compagnie des salins du midi et des salines de l'Est;2,6 GHz TDD;2575;2595;2025-1042;https://www.arcep.fr/uploads/tx_gsavis/25-1042.pdf;43,55661111111111;4,183194444444445;30003;Aigues-Mortes;Gard;Occitanie;2025-06-16;2025-09-12;Dans le cadre de ses activités sur le site d’Aigues Mortes, le GROUPE SALINS recherche une solution de connectivité fiable qui lui permettra de répondre à ses besoins liés à la transformation digitale de son entreprise,;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
